Название статьи;Сссылка на статью;Дата публикации;Изображение статьи
СМИ: ремастеры GTAIV и Red Dead Redemption заморожены, но могут выйти после GTAVI;https://stopgame.ru//newsdata/54005/smi_remastery_gtaiv_i_red_dead_redemption_zamorozheny_no_mogut_vyyti_posle_gtavi;Сегодня;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/05/c270x153/e1So9lOUyq3Cg2susMDbaw/4HsLDKkl8.jpg
8 июля выйдет Skyrim Together Reborn — новая версия кооперативного мода для Skyrim;https://stopgame.ru//newsdata/53985/8_iyulya_vyydet_skyrim_together_reborn_novaya_versiya_kooperativnogo_moda_dlya_skyrim;Вчера;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/04/c270x153/petkPf7UI-EFDAXji1HIAQ/CL8pdRgO.jpg
Рейтинг Battlefield 2042 в Steam впервые стал «смешанным»;https://stopgame.ru//newsdata/53966/reyting_battlefield_2042_v_steam_vpervye_stal_smeshannym;2 июля;https://stopgame.ru/https://images.stopgame.ru/news/2022/07/01/c270x153/wyL3KmIMYThZXLzSmU9Gcw/A-hFhuP.jpg
Анонс Stuntfest: World Tour — гонки с летающими водителями;https://stopgame.ru//newsdata/53946/anons_stuntfest_world_tour_gonki_s_letayuschimi_voditelyami;30 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/30/c270x153/7gbMF0YShdQPjv6eQM5oRQ/wifMaxyd.jpg
Подробнее о стартовых позициях в Immortal Empires — режиме Total War: Warhammer III;https://stopgame.ru//newsdata/53925/podrobnee_o_startovyh_poziciyah_v_immortal_empires_rezhime_total_war_warhammer_iii;29 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/29/c270x153/PhODqmL-ZJlu1LfinFw8Vg/xhDsuI__.jpg
Геймплей Code: To Jin Yong — фэнтези-экшена на Unreal Engine 5 про восточные единоборства;https://stopgame.ru//newsdata/53906/geympley_code_to_jin_yong_fentezi_ekshena_na_unreal_engine_5_pro_vostochnye_edinoborstva;28 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/28/c270x153/bk-40ZaB1FflHgcGd8zNOw/cX61pbt.jpg
Геймплей Scarface: Empire — отменённого сиквела игры по «Лицу со шрамом» с большими амбициями;https://stopgame.ru//newsdata/53884/geympley_scarface_empire_otmen_nnogo_sikvela_igry_po_licu_so_shramom_s_bolshimi_ambiciyami;26 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/26/c270x153/E39ovLip-F_CODC8CRCgFg/mO4LKTyw.jpg
Ролевой детектив Pentiment переведут на русский после релиза;https://stopgame.ru//newsdata/53865/rolevoy_detektiv_pentiment_perevedut_na_russkiy_posle_reliza;23 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/23/c270x153/0Ofl7AV_louDNJ66tABpZg/xhUHbMS7m.jpg
Valve уничтожила Steam Deck и раздавила вортигонта, чтобы показать, для чего нужны карточки в Steam;https://stopgame.ru//newsdata/53844/valve_unichtozhila_steam_deck_i_razdavila_vortigonta_chtoby_pokazat_dlya_chego_nuzhny_kartochki_v_steam;22 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/22/c270x153/HWlRGbSyAM4jbGgFrywuJA/7tJ2dGW.jpg
KotOR II для Switch невозможно пройти из-за бага (но его обещают скоро исправить);https://stopgame.ru//newsdata/53824/kotor_ii_dlya_switch_nevozmozhno_proyti_iz_za_baga_no_ego_obeschayut_skoro_ispravit;21 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/21/c270x153/H2tiEW1C4Tj69lJbtR8gBQ/TyNPKlF.jpg
Чарт продаж Steam: ремейк Final Fantasy VII, новые «Черепашки-ниндзя» и пара бывших эксклюзивов EGS;https://stopgame.ru//newsdata/53804/chart_prodazh_steam_remeyk_final_fantasy_vii_novye_cherepashki_nindzya_i_para_byvshih_eksklyuzivov_egs;19 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/19/c270x153/Nte4UjlSxYQyBxeICaY77A/5LeFgSI.jpg
Приложение Xbox теперь предугадывает, как игра пойдёт на вашем ПК;https://stopgame.ru//newsdata/53784/prilozhenie_xbox_teper_predugadyvaet_kak_igra_poyd_t_na_vashem_pk;17 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/17/c270x153/odQgsL_TZI6zcgmCgBVStA/Wmlsk6w0.jpg
В четвёртом сезоне Warzone и Vanguard появится пара новых карт;https://stopgame.ru//newsdata/53764/v_chetv_rtom_sezone_warzone_i_vanguard_poyavitsya_para_novyh_kart;15 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/15/c270x153/tafqq8_x2_yIUGX6Zhxd8A/3-KPaC6.jpg
Акции Devolver Digital обвалились на 47 % после известий о низких продажах игр;https://stopgame.ru//newsdata/53744/akcii_devolver_digital_obvalilis_na_47_posle_izvestiy_o_nizkih_prodazhah_igr;14 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/14/c270x153/na0rRIBmsVhLfxg_AZ4-NQ/8B5eE_m3S.jpg
Режиссёр новой экранизации «Сайлент-Хилла» тоже говорит, что Konami готовит свежие игры в серии;https://stopgame.ru//newsdata/53725/rezhiss_r_novoy_ekranizacii_saylent_hilla_tozhe_govorit_chto_konami_gotovit_svezhie_igry_v_serii;13 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/13/c270x153/aamct1hbEv24-wpoWLxWiw/9PRWfXp.jpg
Кодзима работает над новой игрой с Microsoft;https://stopgame.ru//newsdata/53706/kodzima_rabotaet_nad_novoy_igroy_s_microsoft;12 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/12/c270x153/64Dnpwh18RWG2Gz1_RM_Mw/tQbBETp.jpg
Сериал по Dragon Age, третий сезон «DOTA: Кровь дракона» — обзор игрового дня Geeked Week от Netflix;https://stopgame.ru//newsdata/53684/serial_po_dragon_age_tretiy_sezon_dota_krov_drakona_review_igrovogo_dnya_geeked_week_ot_netflix;10 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/10/c270x153/J77UUFLA25WEGzdWQRidmA/-siIgYsgT.jpg
Выходцы из Blizzard показали Stormgate — фритуплейную RTS в постапокалипсисе;https://stopgame.ru//newsdata/53664/vyhodcy_iz_blizzard_pokazali_stormgate_fritupleynuyu_rts_v_postapokalipsise;10 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/10/c270x153/SjrOlytcpil6yXSGPAn2rQ/KBSpE8f.jpg
Первым большим дополнением для Forza Horizon 5 станет кроссовер с Hot Wheels — снова;https://stopgame.ru//newsdata/53643/pervym_bolshim_dopolneniem_dlya_forza_horizon_5_stanet_krossover_s_hot_wheels_snova;9 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/09/c270x153/Yuf7WcH3Du0P00avxXFIow/gUY6HPr.jpg
Хендерсон: в Game Pass добавят демоверсии;https://stopgame.ru//newsdata/53623/henderson_v_game_pass_dobavyat_demoversii;8 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/08/c270x153/XechX8JmzYvVHveLXCxn0g/UKkQtcD.jpg
Знакомые зомби в свежем трейлере Resident Evil от Netflix;https://stopgame.ru//newsdata/53603/znakomye_zombi_v_svezhem_trailere_resident_evil_ot_netflix;6 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/06/c270x153/GW3AO_j6GI1MBjab25weYA/G4A5aAn.jpg
Ремейк Prince of Persia: The Sands of Time выйдет не раньше апреля 2023-го;https://stopgame.ru//newsdata/53583/remeyk_prince_of_persia_the_sands_of_time_vyydet_ne_ranshe_aprelya_2023_go;3 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/03/c270x153/NbKm57eP3U8ViUPfhbHVOg/4mYSGsoPz.jpg
Анонсирован ремейк Resident Evil 4 — с контентом для PS VR2;https://stopgame.ru//newsdata/53563/anonsirovan_remeyk_resident_evil_4_s_kontentom_dlya_ps_vr2;3 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/03/c270x153/0SzR0PKr3_raXxuPMmxJeQ/Xk-NanUp.jpg
Бумер-шутер, фритуплейная ККИ и апдейт Vermintide 2 — всё, что показали на шоу Warhammer Skulls;https://stopgame.ru//newsdata/53542/bumer_shuter_fritupleynaya_kki_i_apdeyt_vermintide_2_vs_chto_pokazali_na_shou_warhammer_skulls;1 июня;https://stopgame.ru/https://images.stopgame.ru/news/2022/06/01/c270x153/SkFPk03xhchetSz5eHwsHw/Em4kHnx.jpg
В Summer Game Fest 2022 примут участие более 30 партнёров, включая возможных авторов новой Silent Hill;https://stopgame.ru//newsdata/53524/v_summer_game_fest_2022_primut_uchastie_bolee_30_partn_rov_vklyuchaya_vozmozhnyh_avtorov_novoy_silent_hill;31 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/31/c270x153/x4Ra9gE0c5SDZ3QuXAwKAw/OMpKIKTjy.jpg
Diablo Immortal всё же получит перевод на русский язык;https://stopgame.ru//newsdata/53503/diablo_immortal_vs_zhe_poluchit_perevod_na_russkiy_yazyk;30 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/30/c270x153/ipRSQTY01VDB0Q3l0OkBOg/9tt2IGiX.jpg
Мультиплеер вернётся в каждую из Dark Souls на ПК по очереди;https://stopgame.ru//newsdata/53483/multipleer_vern_tsya_v_kazhduyu_iz_dark_souls_na_pk_po_ocheredi;27 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/27/c270x153/ctqOgaCt7YHh3FM8yinkYw/PkbFmg0z.jpg
Онлайн-мультиплеер The Quarry выйдет уже после релиза ужастика;https://stopgame.ru//newsdata/53463/onlayn_multipleer_the_quarry_vyydet_uzhe_posle_reliza_uzhastika;26 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/26/c270x153/n4B66g2dmdP7i2H1mTfDaQ/oe7eeqhR.jpg
Художники CDPR объясняют, откуда взялся фирменный киберпанковский жёлтый цвет;https://stopgame.ru//newsdata/53443/hudozhniki_cdpr_obyasnyayut_otkuda_vzyalsya_firmennyy_kiberpankovskiy_zh_ltyy_cvet;25 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/25/c270x153/ShS2Xtu2u405C3qEmbMHYA/82eT5aU.jpg
У Metal Gear Rising в разы вырос онлайн — похоже, всё дело в мемах;https://stopgame.ru//newsdata/53423/u_metal_gear_rising_v_razy_vyros_onlayn_pohozhe_vs_delo_v_memah;24 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/24/c270x153/YJJiBV5AGBNha7WPCCJT1Q/RI0nFcE1.jpg
В State of Decay 2 настреляли более 4,6 миллиарда зомби;https://stopgame.ru//newsdata/53404/v_state_of_decay_2_nastrelyali_bolee_4_6_milliarda_zombi;21 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/21/c270x153/JEZQDdNUj5ePZ26v2O52TQ/5DEh37Dm.jpg
В Syphon Filter из новой версии PS Plus добавят трофеи;https://stopgame.ru//newsdata/53383/v_syphon_filter_iz_novoy_versii_ps_plus_dobavyat_trofei;20 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/20/c270x153/t4-MbX9QtL0_h8KDLCiODA/kTu56l_.jpg
Похоже, Skyrim для Switch придётся купить во второй раз;https://stopgame.ru//newsdata/53363/pohozhe_skyrim_dlya_switch_prid_tsya_kupit_vo_vtoroy_raz;19 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/19/c270x153/Mhlaz8tmucNdDIU6J-IJOw/rbFsTkd0O.jpg
В Dead by Daylight пройдёт вторая глава о Resident Evil — кажется, с Вескером;https://stopgame.ru//newsdata/53343/v_dead_by_daylight_proyd_t_vtoraya_glava_o_resident_evil_kazhetsya_s_veskerom;18 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/18/c270x153/KVpgIyLYXy6csuwd-Gy2lg/fPNWjCh.jpg
Релизный трейлер Apex Legends Mobile с эксклюзивным героем;https://stopgame.ru//newsdata/53323/reliznyy_trailer_apex_legends_mobile_s_eksklyuzivnym_geroem;17 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/17/c270x153/4teKS-sZiuqeb-A_4XGQEw/gSTvZMS1.jpg
Слух: в 2022-м выйдет сборник ремастеров Gears of War;https://stopgame.ru//newsdata/53303/sluh_v_2022_m_vyydet_sbornik_remasterov_gears_of_war;15 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/15/c270x153/zS_XkVhfsrRekXxgfEgX7w/IbgdL2U.jpg
Ubisoft выпустит во всём мире свой китайский эксклюзив про кроликов;https://stopgame.ru//newsdata/53283/ubisoft_vypustit_vo_vs_m_mire_svoy_kitayskiy_eksklyuziv_pro_krolikov;13 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/13/c270x153/PdFOHa3HuQVFJsFolIGOqg/s9RtJW1.jpg
Criterion и подразделение Codemasters объединятся ради будущего Need for Speed;https://stopgame.ru//newsdata/53263/criterion_i_podrazdelenie_codemasters_obedinyatsya_radi_buduschego_need_for_speed;12 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/12/c270x153/syK7EBMrF7VtyS-n-QhxIw/ytoYZ8L.jpg
В мае стартует кроссовер Smite с метал-группой Slipknot;https://stopgame.ru//newsdata/53244/v_mae_startuet_krossover_smite_s_metal_gruppoy_slipknot;11 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/11/c270x153/15bMTz5vK9YfDohIeJ8fEw/ynp4nvL.jpg
Стрим о визуальном дизайне ремейка Dead Space пройдёт 12 мая;https://stopgame.ru//newsdata/53223/strim_o_vizualnom_dizayne_remeyka_dead_space_proyd_t_12_maya;9 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/09/c270x153/_CXn6TEqweSXluyopMTGQg/X7lYZieg5.jpg
Постельное бельё в Star Citizen будет реалистично сминаться, но игроки этому совсем не рады;https://stopgame.ru//newsdata/53204/postelnoe_bel_v_star_citizen_budet_realistichno_sminatsya_no_igroki_etomu_sovsem_ne_rady;7 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/07/c270x153/v8WKnufqKJizJ0bZG_dl9g/gQrBDFqHC.jpg
Компаньоны-усложнители и поддержка контроллеров — анонс расширения «Дозор» для Path of Exile;https://stopgame.ru//newsdata/53183/kompanony_uslozhniteli_i_podderzhka_kontrollerov_anons_rasshireniya_dozor_dlya_path_of_exile;6 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/06/c270x153/9Cfrae2uJiW_7xcGSVFIwg/iK7745a7-.jpg
Скрепыш из Microsoft Office появился в Halo Infinite и даже немножко вписан в лор;https://stopgame.ru//newsdata/53163/skrepysh_iz_microsoft_office_poyavilsya_v_halo_infinite_i_dazhe_nemnozhko_vpisan_v_lor;5 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/05/c270x153/Jr-VljNclXm7X1a3I4Smbg/fSPEO2S.jpg
Sifu получила обновление с уровнями сложности;https://stopgame.ru//newsdata/53143/sifu_poluchila_obnovlenie_s_urovnyami_slozhnosti;3 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/03/c270x153/WSyLlTO_aKFkfZTu7z9c2Q/imUfKJg.jpg
В 2D-соулслайк Eldest Souls добавили новые битвы с боссами;https://stopgame.ru//newsdata/53123/v_2d_soulslayk_eldest_souls_dobavili_novye_bitvy_s_bossami;2 мая;https://stopgame.ru/https://images.stopgame.ru/news/2022/05/02/c270x153/09xoz7Kem6L2gn63Ej43iw/0ncMIX2R.jpg
